img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/5396c9098ff8f5a04f5f3407/ocbc-mastercard-pink.jpg,ocbc,ocbc_mastercard_pink,mastercard,3000.0,Anybody,0.1,10000000000,any amount,all other retail spending,0.0,,False,False,False
https://ringgitplus.com/img/card-400/539173d91aefae303d8bd6b4/ocbc-mastercard-blue.jpg,ocbc,ocbc_mastercard_blue,mastercard,3000.0,Anybody,1.0,10000000000,any amount,all online and overseas spending,0.0,,False,False,False
https://ringgitplus.com/img/card-400/539173d91aefae303d8bd6b4/ocbc-mastercard-blue.jpg,ocbc,ocbc_mastercard_blue,mastercard,3000.0,Anybody,0.1,10000000000,any amount,all other retail spending,0.0,,False,False,False
https://ringgitplus.com/img/card-400/58e1b9f94069a6115d57cc53/public-bank-quantum-visa.jpg,public_bank,public_bank_quantum_visa,visa,3000.0,Anybody,5.0,30,from RM30 and above,contactless transaction,30.0,,False,False,False
https://ringgitplus.com/img/card-400/54d9e0fc6b4be6cc17227f63/public-islamic-bank-visa-platinum-credit-card-i.jpg,public_bank,public_islamic_bank_visa_platinum_credit_card_i,visa,3333.33,Anybody,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00011c/public-bank-visa-platinum.jpg,public_bank,public_bank_visa_platinum,visa,4166.67,Anybody,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/55274c2e628926785afd1870/public-bank-petron-visa-gold.jpg,public_bank,public_bank_petron_visa_gold,visa,2000.0,Anybody,5.0,50,from RM801 and above monthly,fuel and non-fuel spends at petron stations only,801.0,,False,True,False
https://ringgitplus.com/img/card-400/55274c2e628926785afd1870/public-bank-petron-visa-gold.jpg,public_bank,public_bank_petron_visa_gold,visa,2000.0,Anybody,0.1,10000000000,any amount,all retail spends,0.0,,False,False,False
https://ringgitplus.com/img/card-400/54d9c649f951fb0066e61f4b/public-islamic-bank-visa-gold-credit-card-i.jpg,public_bank,public_islamic_bank_visa_gold_credit_card_i,visa,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/537eea2c06a589d1189a6e0c/public-bank-visa-signature.jpg,public_bank,public_bank_visa_signature,visa,6666.67,Anybody,6.0,38,any amount monthly,"groceries, dining and online purchases",0.0,,False,True,False
https://ringgitplus.com/img/card-400/54d9a832a556ca1e2c352859/public-islamic-bank-mastercard-platinum-credit-card-i.jpg,public_bank,public_islamic_bank_mastercard_platinum_credit_card_i,mastercard,3333.33,Anybody,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/51cc0764d9d93fa811000001/public-bank-aia-visa-gold.jpg,public_bank,public_bank_aia_visa_gold,visa,2000.0,Anybody,0.2,10000000000,from RM1 and above monthly,aia insurance premiums,1.0,,False,True,False
https://ringgitplus.com/img/card-400/51cc0764d9d93fa811000001/public-bank-aia-visa-gold.jpg,public_bank,public_bank_aia_visa_gold,visa,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,cash megabonus on local and overseas retail purchases,1.0,,False,True,False
